,Number of returns,Number of exemptions,,Adjusted Gross Income,Salaries and Wages,,Taxable Interest,,Total Tax,,Schedule C Net Profit/Loss,Schedule F Net Profit/Loss,Total Itemized Deductions
ZIP Code  & ,,Total,Dependent Exemptions,,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Number of returns,Number of returns
Size of Adjusted,,,,,,,,,,,,,
Gross Income,(1),(2),(3),(4),(5),(6),(7),(8),(34),(35),(13),(15),(21)
,,,,,,,,,,,,,
"$50,000 under $75,000",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,*         
"$75,000 under $100,000",0,0,0,0,0,0,0,0,0,0,0,0,0
"$100,000 or more     ",*         ,*         ,*         ,*              ,0,0,*         ,*              ,*         ,*              ,0,0,0
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96134,866,"2,037",760,"27,727",690,"18,413",361,870,513,"2,653",102,95,106
"Under $10,000        ",201,356,114,"-1,016",148,990,61,41,48,23,29,17,0
"$10,000 under $25,000",273,601,232,"4,635",219,"3,322",83,196,144,129,23,17,19
"$25,000 under $50,000",223,614,261,"7,894",188,"5,730",102,191,158,444,21,23,23
"$50,000 under $75,000",105,294,102,"6,347",86,"4,401",63,204,99,540,29,18,25
"$75,000 under $100,000",29,88,33,"2,507",25,"1,627",23,29,29,273,*         ,10,14
"$100,000 or more     ",35,84,18,"7,360",24,"2,343",29,209,35,"1,244",*         ,10,25
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96135,44,83,21,"1,484",31,912,11,22,33,117,*         ,*         ,*         
"Under $10,000        ",*         ,*         ,*         ,*              ,*         ,*              ,11,22,*         ,*              ,*         ,0,0
"$10,000 under $25,000",24,41,11,315,15,222,*         ,*              ,23,36,0,*         ,*         
"$25,000 under $50,000",10,20,5,356,16,690,*         ,*              ,*         ,*              ,0,0,0
"$50,000 under $75,000",10,22,5,813,*         ,*              ,*         ,*              ,10,81,0,0,*         
"$75,000 under $100,000",0,0,0,0,0,0,0,0,0,0,0,0,0
"$100,000 or more     ",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96136,37,74,22,"1,431",31,"1,169",*         ,*              ,22,72,*         ,*         ,*         
"Under $10,000        ",12,17,2,111,10,99,0,0,*         ,*              ,*         ,0,0
"$10,000 under $25,000",*         ,*         ,*         ,*              ,*         ,*              ,0,0,*         ,*              ,0,0,0
"$25,000 under $50,000",15,31,11,547,21,"1,070",*         ,*              ,22,72,0,0,*         
"$50,000 under $75,000",10,26,9,773,*         ,*              ,0,0,*         ,*              ,*         ,0,*         
"$75,000 under $100,000",*         ,*         ,*         ,*              ,*         ,*              ,0,0,*         ,*              ,0,0,0
"$100,000 or more     ",*         ,*         ,*         ,*              ,0,0,*         ,*              ,0,0,0,*         ,0
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96137,"1,504","3,029",755,"71,379","1,076","35,957",795,"2,168","1,155","7,840",303,*         ,571
"Under $10,000        ",264,397,86,-551,186,"1,116",78,183,72,48,52,0,17
"$10,000 under $25,000",342,565,122,"5,848",238,"3,661",123,212,242,234,45,0,67
"$25,000 under $50,000",388,813,231,"14,424",292,"8,872",187,379,341,"1,053",75,0,127
"$50,000 under $75,000",241,585,154,"14,816",186,"8,413",174,312,233,"1,377",65,0,138
"$75,000 under $100,000",133,349,97,"11,341",91,"6,487",108,264,132,"1,043",24,0,99
"$100,000 or more     ",136,320,65,"25,501",83,"7,408",125,818,135,"4,085",42,*         ,123
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96140,618,"1,108",246,"46,318",440,"17,669",362,"1,368",511,"6,598",198,*         ,309
"Under $10,000        ",123,141,7,-64,82,565,50,42,55,22,33,0,11
"$10,000 under $25,000",112,154,25,"1,851",82,"1,247",40,85,92,146,27,*         ,25
"$25,000 under $50,000",144,236,49,"5,252",107,"3,206",74,163,134,585,55,0,63
"$50,000 under $75,000",79,173,53,"4,863",57,"2,716",62,103,70,456,30,0,62
"$75,000 under $100,000",56,138,40,"4,882",42,"2,694",42,101,56,535,25,0,52
"$100,000 or more     ",104,266,72,"29,534",70,"7,241",94,874,104,"4,854",28,0,96
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96141,347,598,122,"19,084",244,"8,404",214,484,295,"2,452",115,0,167
"Under $10,000        ",63,84,12,151,42,233,28,14,30,30,26,0,11
"$10,000 under $25,000",81,110,16,"1,466",58,880,33,55,67,101,26,0,23
"$25,000 under $50,000",92,146,24,"3,327",70,"2,137",54,43,87,297,23,0,37
"$50,000 under $75,000",45,104,29,"2,770",32,"1,539",40,67,45,256,21,0,37
"$75,000 under $100,000",25,57,15,"2,078",19,"1,046",21,30,25,213,*         ,0,21
"$100,000 or more     ",41,97,26,"9,292",23,"2,569",38,275,41,"1,555",19,0,38
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96142,342,612,146,"17,235",264,"8,903",173,394,278,"2,269",102,0,132
"Under $10,000        ",64,86,13,196,43,226,27,20,26,12,20,0,*         
"$10,000 under $25,000",77,126,32,"1,371",60,981,21,33,61,70,13,0,18
"$25,000 under $50,000",98,169,44,"3,598",79,"2,594",42,16,88,311,28,0,33
"$50,000 under $75,000",45,101,29,"2,777",37,"1,622",32,58,45,298,27,0,31
"$75,000 under $100,000",23,52,11,"1,986",21,"1,375",19,30,23,207,*         ,0,17
"$100,000 or more     ",35,78,17,"7,307",24,"2,105",32,237,35,"1,371",14,0,33
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96143,"1,445","3,229","1,239","56,654","1,265","38,219",452,821,986,"5,843",298,0,375
"Under $10,000        ",251,360,82,"1,044",204,"1,170",46,61,86,38,45,0,16
"$10,000 under $25,000",463,945,382,"8,071",426,"7,058",74,87,290,340,67,0,44
"$25,000 under $50,000",451,"1,187",526,"16,056",413,"13,631",130,147,335,961,85,0,112
"$50,000 under $75,000",145,415,170,"8,730",116,"6,271",88,103,141,824,48,0,83
"$75,000 under $100,000",45,109,27,"3,913",37,"2,755",33,55,45,407,11,0,34
"$100,000 or more     ",90,213,52,"18,840",69,"7,334",81,368,89,"3,273",42,0,86
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96145,"2,590","4,235",859,"150,128","2,014","74,982","1,296","4,472","2,177","23,313",806,*         ,"1,044"
"Under $10,000        ",514,632,72,"-4,363",361,"2,061",171,159,207,141,148,0,47
"$10,000 under $25,000",665,838,109,"11,590",555,"9,013",196,271,596,814,166,*         ,111
"$25,000 under $50,000",605,904,170,"21,474",485,"15,615",268,479,574,"2,147",166,0,223
"$50,000 under $75,000",294,579,137,"18,210",235,"11,634",201,471,289,"2,177",113,0,195
"$75,000 under $100,000",158,378,104,"13,687",127,"8,166",135,280,158,"1,621",69,*         ,131
"$100,000 or more     ",354,904,267,"89,530",251,"28,493",325,"2,812",353,"16,413",144,*         ,337
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96146,745,"1,127",187,"48,178",589,"22,408",357,"1,465",631,"7,888",239,0,285
"Under $10,000        ",143,166,12,104,96,693,55,71,62,60,49,0,17
"$10,000 under $25,000",207,247,23,"3,661",179,"2,754",54,103,183,267,51,0,37
"$25,000 under $50,000",171,222,25,"5,820",147,"4,522",57,79,162,559,38,0,46
"$50,000 under $75,000",64,102,15,"3,879",52,"2,583",46,79,64,433,20,0,45
"$75,000 under $100,000",42,98,26,"3,655",27,"1,478",36,121,42,495,19,0,27
"$100,000 or more     ",118,292,86,"31,059",88,"10,378",109,"1,012",118,"6,074",62,0,113
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96148,351,648,153,"21,113",250,"9,694",196,724,287,"2,959",111,0,183
"Under $10,000        ",72,93,9,-133,41,243,29,25,28,19,23,0,13
"$10,000 under $25,000",71,105,21,"1,254",49,832,28,29,57,73,15,0,23
"$25,000 under $50,000",81,147,36,"3,029",61,"2,043",39,63,76,264,24,0,38
"$50,000 under $75,000",45,88,22,"2,710",36,"1,607",34,88,44,348,22,0,34
"$75,000 under $100,000",25,63,17,"2,132",18,"1,193",17,12,25,251,*         ,0,21
"$100,000 or more     ",57,152,48,"12,121",45,"3,776",49,507,57,"2,004",27,0,54
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96150,"5,428","10,212","2,799","243,939","4,584","168,685","2,583","4,643","4,189","27,178","1,165",*         ,"2,192"
"Under $10,000        ","1,142","1,449",214,"3,246",900,"5,161",300,326,385,179,190,0,65
"$10,000 under $25,000","1,397","2,110",495,"23,874","1,190","19,448",383,392,"1,089","1,190",211,0,266
"$25,000 under $50,000","1,265","2,420",704,"45,582","1,109","36,403",580,731,"1,122","3,246",258,0,517
"$50,000 under $75,000",694,"1,714",554,"42,580",595,"31,784",508,829,668,"3,745",205,0,496
"$75,000 under $100,000",414,"1,093",349,"35,613",364,"26,502",335,579,411,"3,537",112,0,355
"$100,000 or more     ",516,"1,426",483,"93,044",426,"49,387",477,"1,786",514,"15,281",189,*         ,493
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96151,"3,150","5,807","1,670","120,310","2,694","82,563","1,198","3,310","2,372","12,458",584,0,913
"Under $10,000        ",541,708,113,"1,378",408,"2,572",137,148,163,97,100,0,37
"$10,000 under $25,000","1,039","1,684",496,"17,948",905,"14,900",219,275,764,837,146,0,115
"$25,000 under $50,000",888,"1,765",575,"31,749",803,"26,468",331,320,776,"2,284",143,0,270
"$50,000 under $75,000",340,803,256,"20,804",301,"15,743",222,358,330,"2,036",86,0,199
"$75,000 under $100,000",155,380,104,"13,261",133,"9,398",125,285,152,"1,382",42,0,118
"$100,000 or more     ",187,467,126,"35,170",144,"13,482",164,"1,924",187,"5,822",67,0,174
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96152,319,587,153,"16,232",248,"9,773",150,615,257,"1,991",58,0,118
"Under $10,000        ",54,68,10,287,33,185,12,5,26,12,18,0,*         
"$10,000 under $25,000",81,133,38,"1,366",67,"1,106",25,11,58,64,*         ,0,18
"$25,000 under $50,000",89,154,39,"3,263",73,"2,429",38,43,80,266,17,0,29
"$50,000 under $75,000",36,77,19,"2,314",31,"1,766",25,15,36,226,11,0,21
"$75,000 under $100,000",24,55,14,"2,102",20,"1,251",18,38,23,232,*         ,0,19
"$100,000 or more     ",35,100,33,"6,900",24,"3,036",32,503,34,"1,191",12,0,31
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96154,12,27,10,205,*         ,*              ,*         ,*              ,*         ,*              ,*         ,0,*         
"Under $10,000        ",12,27,10,205,0,0,*         ,*              ,*         ,*              ,*         ,0,0
"$10,000 under $25,000",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,*         
"$25,000 under $50,000",*         ,*         ,*         ,*              ,0,0,0,0,0,0,0,0,0
"$50,000 under $75,000",*         ,*         ,*         ,*              ,0,0,0,0,*         ,*              ,*         ,0,0
"$75,000 under $100,000",0,0,0,0,0,0,0,0,0,0,0,0,0
"$100,000 or more     ",*         ,*         ,*         ,*              ,0,0,0,0,*         ,*              ,0,0,0
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96155,551,934,178,"26,660",439,"16,614",314,591,453,"3,125",157,0,241
"Under $10,000        ",109,126,11,147,74,464,46,36,42,27,34,0,*         
"$10,000 under $25,000",132,192,35,"2,313",98,"1,539",49,45,109,154,37,0,40
"$25,000 under $50,000",126,197,30,"4,706",109,"3,512",64,78,121,400,27,0,48
"$50,000 under $75,000",79,162,36,"4,845",68,"3,253",64,95,77,442,20,0,58
"$75,000 under $100,000",39,97,28,"3,455",38,"2,834",32,10,39,385,12,0,34
"$100,000 or more     ",66,160,38,"11,194",52,"5,012",59,327,65,"1,717",27,0,61
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96156,"1,823","3,718","1,320","52,708","1,657","41,449",425,"1,096","1,272","3,808",206,0,248
"Under $10,000        ",296,406,85,"1,325",245,"1,586",39,29,102,40,43,0,12
"$10,000 under $25,000",761,"1,409",517,"13,326",724,"12,220",99,106,507,522,55,0,30
"$25,000 under $50,000",532,"1,289",502,"18,745",489,"16,175",144,320,433,"1,122",57,0,85
"$50,000 under $75,000",160,448,178,"9,678",141,"7,669",80,297,156,786,26,0,66
"$75,000 under $100,000",39,93,23,"3,379",31,"2,017",30,74,39,376,10,0,23
"$100,000 or more     ",35,73,15,"6,255",27,"1,782",33,270,35,962,15,0,32
